replyId,videoId,parentCommentId,replyAuthor,reply,replyTimeStamp,replylikesCount,clean_reply,reply_language
UgwwnDkp0ePL11jnqId4AaABAg.8GbQfFgeEnQ9MlWpdqRV8v,zWg7U0OEAoE,UgwwnDkp0ePL11jnqId4AaABAg,Mayank Yadav,"​@Dhruva Bhat Not all are available, but you can find majority of these at https://nptel.ac.in/course.html",2021-04-30T16:38:58Z,1,"​@Dhruva Bhat Not all are available, but you can find majority of these at https://nptel.ac.in/course.html",en
UgwwnDkp0ePL11jnqId4AaABAg.8GbQfFgeEnQ9Mkyg7ItcYp,zWg7U0OEAoE,UgwwnDkp0ePL11jnqId4AaABAg,Dhruva Bhat,@Mayank Yadav hi can you share the drive link of the rest too ?,2021-04-30T11:31:50Z,0,@Mayank Yadav hi can you share the drive link of the rest too ?,en
UgximSrF1jFacbYzGQR4AaABAg.8GboKdxzvgT9MxAMZupm49,zWg7U0OEAoE,UgximSrF1jFacbYzGQR4AaABAg,Aero Dynamico,"Oh, and that's true even 11 years later!",2021-05-05T05:13:31Z,2,"Oh, and that's true even 11 years later!",en
Ugx546O0jhCSNkpr-Wt4AaABAg.8Gc0VXM7J4u9DR52AoWZ-j,zWg7U0OEAoE,Ugx546O0jhCSNkpr-Wt4AaABAg,Остин Джеймс,contributed yet?,2020-09-10T16:09:33Z,9,contributed yet?,en
UgyrEkfNunJANTFAH0t4AaABAg.8HjlSd0pdQI99-HVt5fu4j,zWg7U0OEAoE,UgyrEkfNunJANTFAH0t4AaABAg,Moinuddin Vaidya,"Hello guys, great opportunity for you all 
You can learn any #course related to any subject like technology,  business, designing tools and lot more on learnvern. No language barriers. You can learn course in Hindi as well as in English https://www.learnvern.com/r/1511d8
#freeofcost and you will be provided #certificate for that to which can add benefits in your CV. Also you can participate in live projects. 
Great opportunity for you in quarantine to learn something new. So what are you waiting for  #enroll yourself and have access to these courses for free from https://www.learnvern.com/r/1511d8
#STAYSAfe #STAYHOME

Sign In And Share With Others",2020-05-23T10:54:09Z,0,"Hello guys, great opportunity for you all 
You can learn any #course related to any subject like technology,  business, designing tools and lot more on learnvern. No language barriers. You can learn course in Hindi as well as in English https://www.learnvern.com/r/1511d8
#freeofcost and you will be provided #certificate for that to which can add benefits in your CV. Also you can participate in live projects. 
Great opportunity for you in quarantine to learn something new. So what are you waiting for  #enroll yourself and have access to these courses for free from https://www.learnvern.com/r/1511d8
#STAYSAfe #STAYHOME

Sign In And Share With Others",en
UgyM2qxo2tJTaJ210-54AaABAg.9EWRN2ZBLaZ9Es8ITJPkLt,BRMS3T11Cdw,UgyM2qxo2tJTaJ210-54AaABAg,Beauty is in Mind,"nope, anyone has interest can learn",2020-10-16T10:08:07Z,0,"nope, anyone has interest can learn",en
Ugxyg6P0ohA7sUMdyTN4AaABAg.9DlzETsK4yK9DtyGd78WUu,BRMS3T11Cdw,Ugxyg6P0ohA7sUMdyTN4AaABAg,Saraman1231,@HARI SANKAR You are welcome!,2020-09-22T06:38:50Z,0,@HARI SANKAR You are welcome!,en
Ugxyg6P0ohA7sUMdyTN4AaABAg.9DlzETsK4yK9DtUyC6IttV,BRMS3T11Cdw,Ugxyg6P0ohA7sUMdyTN4AaABAg,HARI SANKAR,@Saraman1231 thanks brother😊,2020-09-22T02:14:02Z,0,@Saraman1231 thanks brother,en
Ugxyg6P0ohA7sUMdyTN4AaABAg.9DlzETsK4yK9DsgdmABzAy,BRMS3T11Cdw,Ugxyg6P0ohA7sUMdyTN4AaABAg,Saraman1231,You definitely can. I'd say that you have the very right profile for this. Any Engineering background is a perfect fit for machine learning. You can even see that the course is being taught by the Computer Science and Engineering Department.,2020-09-21T18:45:37Z,1,You definitely can. I'd say that you have the very right profile for this. Any Engineering background is a perfect fit for machine learning. You can even see that the course is being taught by the Computer Science and Engineering Department.,en
UgynJARwxVpywHiSMPh4AaABAg.9A2frWdvm2F9A7HWSaJ_rB,BRMS3T11Cdw,UgynJARwxVpywHiSMPh4AaABAg,Prasadreddy Bhimavarapu,you can watch these videos directly.,2020-06-20T09:59:33Z,0,you can watch these videos directly.,en
UgwKkM1Pa-QNxbTS-Kd4AaABAg.8xjYNGSVJqz9DmHp52kEdZ,BRMS3T11Cdw,UgwKkM1Pa-QNxbTS-Kd4AaABAg,HARI SANKAR,@Debjyoti 8048 thankyou,2020-09-19T07:04:31Z,0,@Debjyoti 8048 thankyou,en
UgwKkM1Pa-QNxbTS-Kd4AaABAg.8xjYNGSVJqz9Dm9ZlfcAy5,BRMS3T11Cdw,UgwKkM1Pa-QNxbTS-Kd4AaABAg,Debjyoti 8048,@HARI SANKAR if you know advance python the  course will be easy for you. Otherwise you may don't understand the lectures.,2020-09-19T05:52:23Z,0,@HARI SANKAR if you know advance python the  course will be easy for you. Otherwise you may don't understand the lectures.,en
UgwKkM1Pa-QNxbTS-Kd4AaABAg.8xjYNGSVJqz9Dm5Utojd0I,BRMS3T11Cdw,UgwKkM1Pa-QNxbTS-Kd4AaABAg,HARI SANKAR,"@Debjyoti 8048 can you please tell should i learn python before attending this course? Or can move on with this i just know a little bit of python, please reply",2020-09-19T05:16:46Z,0,"@Debjyoti 8048 can you please tell should i learn python before attending this course? Or can move on with this i just know a little bit of python, please reply",en
UgwKkM1Pa-QNxbTS-Kd4AaABAg.8xjYNGSVJqz9Dm1qsiG8hZ,BRMS3T11Cdw,UgwKkM1Pa-QNxbTS-Kd4AaABAg,Debjyoti 8048,"@HARI SANKAR it was 1 year ago comment. I have learent python, c, html, css, c and many more.",2020-09-19T04:44:57Z,0,"@HARI SANKAR it was 1 year ago comment. I have learent python, c, html, css, c and many more.",en
UgwKkM1Pa-QNxbTS-Kd4AaABAg.8xjYNGSVJqz9DlzN85wDxL,BRMS3T11Cdw,UgwKkM1Pa-QNxbTS-Kd4AaABAg,HARI SANKAR,did you attend this course? same as like you i don't know programming,2020-09-19T04:14:32Z,0,did you attend this course? same as like you i don't know programming,en
UgxRo_WvstVdHAuePnZ4AaABAg.8uGCspw-NUb8uGCz2TnPoR,BRMS3T11Cdw,UgxRo_WvstVdHAuePnZ4AaABAg,Harold Finch,Sorry professor 😒,2019-04-28T08:19:22Z,0,Sorry professor ,en
Ugy4LuwKLYDUtiJCzpF4AaABAg.8mTKxOG4RnB8mnrZHIPW5a,BRMS3T11Cdw,Ugy4LuwKLYDUtiJCzpF4AaABAg,Himanshu Kumar,"Search this course on the  nptel channel playlist, you will find the implementations of all algorithms with real life data.",2018-10-24T23:05:44Z,0,"Search this course on the  nptel channel playlist, you will find the implementations of all algorithms with real life data.",en
UgzioCAlE83tKZzKSSl4AaABAg.8iHVZkDXrjp8pxMEEjaQoz,BRMS3T11Cdw,UgzioCAlE83tKZzKSSl4AaABAg,Thirumeni P,Yes the title should be like lec1 vdo 1 like that.,2019-01-11T05:09:50Z,0,Yes the title should be like lec1 vdo 1 like that.,en
Ugz7EYZSJSFgQ-x2_oR4AaABAg.8c_HP9Mjqte8luk-CBV3de,BRMS3T11Cdw,Ugz7EYZSJSFgQ-x2_oR4AaABAg,Ashish Kamble,How i gone thro' dates there is not Machine Learning by Sudeshna Sarkar,2018-10-02T18:42:56Z,0,How i gone thro' dates there is not Machine Learning by Sudeshna Sarkar,en
Ugz7EYZSJSFgQ-x2_oR4AaABAg.8c_HP9Mjqte8k2VSFxhbQU,BRMS3T11Cdw,Ugz7EYZSJSFgQ-x2_oR4AaABAg,Suhail M S K,go to udemy or coursera,2018-08-17T11:17:27Z,0,go to udemy or coursera,en
Ugz7EYZSJSFgQ-x2_oR4AaABAg.8c_HP9Mjqte8jXZ787djRn,BRMS3T11Cdw,Ugz7EYZSJSFgQ-x2_oR4AaABAg,Trending Fever......,hey now you can enroll for cerfication,2018-08-04T16:14:36Z,1,hey now you can enroll for cerfication,en
Ugw6g-OaoNs5chVhRK14AaABAg.8XHr21maIIT8fQztJ_XjjR,BRMS3T11Cdw,Ugw6g-OaoNs5chVhRK14AaABAg,Peranantham Uruthiran,Thanks Prof,2018-04-24T16:56:59Z,0,Thanks Prof,en
UgioOoqEQe97_3gCoAEC.8Vcbmbw9a-G8sztjJNFlU1,BRMS3T11Cdw,UgioOoqEQe97_3gCoAEC,Himanshu Kumar,"@Saloni Manhas Great, projects are best way to learn, you can use some patterns classifiers for it and I must say go through some research papers on it before working on this project and Everyone starts from beginning just keep exploring the net.",2019-03-27T18:23:58Z,0,"@Saloni Manhas Great, projects are best way to learn, you can use some patterns classifiers for it and I must say go through some research papers on it before working on this project and Everyone starts from beginning just keep exploring the net.",en
UgioOoqEQe97_3gCoAEC.8Vcbmbw9a-G8szngOmAhUL,BRMS3T11Cdw,UgioOoqEQe97_3gCoAEC,Saloni Manhas,"@Himanshu Kumar okay, i was doing project in cyber security wherei have to protect websites sql injections with the help of ML, i am new to this field",2019-03-27T17:31:09Z,0,"@Himanshu Kumar okay, i was doing project in cyber security wherei have to protect websites sql injections with the help of ML, i am new to this field",en
UgioOoqEQe97_3gCoAEC.8Vcbmbw9a-G8szlaOKW_MR,BRMS3T11Cdw,UgioOoqEQe97_3gCoAEC,Himanshu Kumar,"@Saloni Manhas hey,I am learning it mainly from online resources.",2019-03-27T17:12:51Z,0,"@Saloni Manhas hey,I am learning it mainly from online resources.",en
UgioOoqEQe97_3gCoAEC.8Vcbmbw9a-G8szjgyHCwcY,BRMS3T11Cdw,UgioOoqEQe97_3gCoAEC,Saloni Manhas,"@Himanshu Kumar  hello, are you working in ML area",2019-03-27T16:56:16Z,0,"@Himanshu Kumar  hello, are you working in ML area",en
UgioOoqEQe97_3gCoAEC.8Vcbmbw9a-G8mnrI2yjjvM,BRMS3T11Cdw,UgioOoqEQe97_3gCoAEC,Himanshu Kumar,"From my experience  I can say simply don't go to books  if you are a beginner, just try to understand the crux from the online courses from couresa, udacity and Udemy etc. Once you have good understanding of all these topics now switch to books.",2018-10-24T23:03:23Z,1,"From my experience  I can say simply don't go to books  if you are a beginner, just try to understand the crux from the online courses from couresa, udacity and Udemy etc. Once you have good understanding of all these topics now switch to books.",en
